Marca;Modello;Potenza (Wp);Efficienza (%);Dimensioni (mm);Tecnologia;Prezzo
Meyer Burger;White 390;390;21,20;1722x1134x30;Categoria C;168,00
Meyer Burger;Glass 385 L(Bifacial);385;20,90;1722x1134x30;Categoria C;178,00
Meyer Burger;Black 380;380;20,70;1722x1134x30;Categoria C;162,00
DAX Solar;DAX 120 TC10;490;22,65;n.a.;Categoria A;n.a.
DAX Solar;DAX 132 TC10;540;22,74;n.a.;Categoria A;n.a.
DAX Solar;DAX 144 TC10;590;22,84;n.a.;Categoria A;n.a.
DAX Solar;DAX 156 TC10;635;22,72;n.a.;Categoria A;n.a.
NWG;NWG MOD 505 P;505;21,54;n.a.;Categoria A;n.a.
Meyer Burger;Black 390;390;21,20;1722x1134x30;Categoria C;168,00
EURENER;ESM570-72HM10;570;22,03;n.a.;Categoria A;158,00
Sunerg Solar srl;XMHC460BFDGKL+H;460;23,02;n.a.;Categoria A;129,00
Sunerg Solar srl;XMHCTP500BFDG+H;500;23,11;n.a.;Categoria A;142,00
Sunerg Solar srl;XMHCTQ590BFDG+H;590;22,83;n.a.;Categoria A;165,00
Sunerg Solar srl;XMHCTQ600BFDG+H;600;23,22;n.a.;Categoria A;172,00
Torri Solare;TRS 440-54M-H8N;440;22,50;n.a.;Categoria A;n.a.
PEIMAR;SA460M;460;21,53;n.a.;Categoria A;125,00
OMNIA Solar;G430T10BE-54HBW;430;22,02;n.a.;Categoria A;115,00
Waris Energy srl;WRS-EU-450-27 MH BF;450;23,09;n.a.;Categoria A;n.a.
OMNIA Solar;G580T10BE-72HSW;580;22,45;n.a.;Categoria A;148,00
OMNIA Solar;G480T10BE-60HBW;480;22,17;n.a.;Categoria A;125,00
Soluxtec;DMMXSCNi BB;440;22,55;n.a.;Categoria A;n.a.
ALPS SOLAR;ALPS72D30-600TP;600;23,30;n.a.;Categoria A;n.a.
Sunerg Solar srl;XMHCTQ580BW+H;580;22,45;n.a.;Categoria A;159,00
Torri Solare;TRS 485-60M-H8N;485;22,50;n.a.;Categoria A;n.a.
Soluxtec;DMMXSCNi BW;450;23,09;n.a.;Categoria A;n.a.
EURENER;ESM580-72HM10;580;22,47;n.a.;Categoria A;162,00
SUNGI SOLAR EUROPE;SNG144-580EHCM10;580;22,45;n.a.;Categoria A;n.a.
SoliTek;Solid Solrif N - 435W;435;22,04;1729x1140x7,1;Categoria A;148,00
SoliTek;Solid Solrif D - 435W;435;22,04;1729x1140x7,1;Categoria A;148,00
SUNGI SOLAR EUROPE;SNG108-430EHCM10;430;22,02;n.a.;Categoria A;n.a.
SUNGI SOLAR EUROPE;SNG120-480EHCM10;480;22,17;n.a.;Categoria A;n.a.
ECLIPSE ITALIA;ECLXXXM10HC;520;21,88;n.a.;Categoria A;n.a.
SUNGI SOLAR EUROPE;SNG108-430EGG22HCM10;430;22,02;n.a.;Categoria A;n.a.
SUNGI SOLAR EUROPE;SNG144-580EGG22HCM10;580;22,45;n.a.;Categoria A;n.a.
Soluxtec;DMMXSCNi BB;425;21,80;n.a.;Categoria A;n.a.
Fly Solartech Solutions;FLY-144-580-M10T-SG;580;22,45;n.a.;Categoria A;n.a.
Fly Solartech Solutions;FLY-120-480-M10T-BG;480;22,17;n.a.;Categoria A;n.a.
SUNGI SOLAR EUROPE;SNG120-480EGG22HCM10;480;22,17;n.a.;Categoria A;n.a.
EURENER;ESM440-54HM10-BB;440;22,56;n.a.;Categoria A;132,00
SoliTek;SOLID Bifacial Frameless - 435W;435;22,07;1729x1140x7,1;Categoria A;155,00
SoliTek;Solid bifacial framed - 435W;435;22,27;1722x1134x35;Categoria A;158,00
EURENER;ES M480-60HM10TB;480;22,18;n.a.;Categoria A;136,00
