Marca;Modello;Potenza (Wp);Efficienza (%);Dimensioni (mm);Tecnologia
SUNGI SOLAR EUROPE;SNG144-580EHCM10;580;22.45;;Categoria A
SoliTek;Solid Solrif N - 435W;435;22.04;;Categoria A
SoliTek;Solid Solrif D - 435W;435;22.04;;Categoria A
SUNGI SOLAR EUROPE;SNG108-430EHCM10;430;22.02;;Categoria A
SUNGI SOLAR EUROPE;SNG120-480EHCM10;480;22.17;;Categoria A
ECLIPSE ITALIA;ECLXXXM10HC;520;21.88;;Categoria A
SUNGI SOLAR EUROPE;SNG108-430EGG22HCM10;430;22.02;;Categoria A
SUNGI SOLAR EUROPE;SNG144-580EGG22HCM10;580;22.45;;Categoria A
Soluxtec;DMMXSCNi BB;425;21.80;;Categoria A
Fly Solartech Solutions;FLY-144-580-M10T-SG;580;22.45;;Categoria A
Fly Solartech Solutions;FLY-120-480-M10T-BG;480;22.17;;Categoria A
SUNGI SOLAR EUROPE;SNG120-480EGG22HCM10;480;22.17;;Categoria A
EURENER;ESM440-54HM10-BB;440;22.56;;Categoria A
SoliTek;SOLID Bifacial Frameless - 435W;435;22.07;;Categoria A
SoliTek;Solid bifacial framed - 435W;435;22.27;;Categoria A
EURENER;ES M480-60HM10TB;480;22.18;;Categoria A
